label,precision,recall,f1-score,support
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_B,0.0,0.0,0.0,16.0
T1078.001_d0ca00832890baa1d42322cf70fcab1a_B,1.0,1.0,1.0,13.0
T1074.001_e6dfc7e89359ac6fa6de84b0e1d5762e_B,0.0,0.0,0.0,25.0
T1491_68235976-2404-42a8-9105-68230cfef562_B,0.0,0.0,0.0,18.0
T1016_14a21534-350f-4d83-9dd7-3c56b93a0c17_B,1.0,1.0,1.0,27.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9_I,0.15915119363395225,0.6593406593406593,0.2564102564102564,91.0
T1074.001_4e97e699-93d7-4040-b5a3-2e906a58199e_I,0.6272189349112426,0.7851851851851852,0.6973684210526315,135.0
T1040_6881a4589710d53f0c146e91db513f01_B,0.0,0.0,0.0,18.0
T1547.009_b6e5c895c6709fe289352ee23f062229_B,0.3333333333333333,0.047619047619047616,0.08333333333333333,21.0
T1564.001_66a5fd5f244819181f074dd082a28905_B,0.0,0.0,0.0,15.0
T1047_f4b0b4129560ea66f9751275e82f6bab_B,0.0,0.0,0.0,28.0
T1112_257313a3c93e3bb7dfb60d6753b09e34_I,1.0,1.0,1.0,46.0
T1047_ac2764f7a67a9ce92b54e8e59b361838_B,1.0,1.0,1.0,21.0
T1518.001_33a24ff44719e6ac0614b58f8c9a7c72_B,1.0,1.0,1.0,25.0
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.16555183946488294,0.66,0.2647058823529412,150.0
T1059.001_ccdb8caf-c69e-424b-b930-551969450c57_B,1.0,1.0,1.0,19.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_B,0.0,0.0,0.0,15.0
T1547_fe9eeee9a7b339089e5fa634b08522c1_I,1.0,0.9976076555023924,0.9988023952095808,418.0
T1574.001_63bbedafba2f541552ac3579e9e3737b_B,0.0,0.0,0.0,18.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759_B,1.0,1.0,1.0,25.0
T1105_e6715e61f5df646692c624b3499384c4_B,0.5555555555555556,0.625,0.5882352941176471,24.0
T1105_4f683658f161ccdc51337c470d32bab9_B,0.14285714285714285,0.047619047619047616,0.07142857142857142,21.0
T1112_4bfb5f265a5ce07af6bf10da113af7db_B,1.0,1.0,1.0,20.0
T1016_921055f4-5970-4707-909e-62f594234d91_B,0.0,0.0,0.0,24.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc_I,1.0,1.0,1.0,487.0
T1041_ea713bc4-63f0-491c-9a6f-0b01d560b87e_B,0.0,0.0,0.0,5.0
T1007_d6bb2a19da7246731ed9c44831b135f8_B,1.0,1.0,1.0,21.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_B,0.0,0.0,0.0,21.0
T1115_70795de7cbb842edb029b3378c27c008_B,0.5,0.7222222222222222,0.5909090909090909,18.0
T1125_da86001b5081fcf773d8e62f22cf2b00_I,0.11764705882352941,0.06611570247933884,0.08465608465608465,121.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc_B,0.5909090909090909,0.7647058823529411,0.6666666666666666,17.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_B,0.875,1.0,0.9333333333333333,21.0
T1531_aa6b15485a5f50ced34d87fda177b758_B,0.0,0.0,0.0,18.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.0,0.0,0.0,17.0
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_I,0.11764705882352941,0.0625,0.08163265306122448,64.0
T1047_f4b0b4129560ea66f9751275e82f6bab_I,0.0,0.0,0.0,28.0
T1562.002_6a8d25d65a7d481dc479f89c62af1e6a_I,1.0,1.0,1.0,28.0
T1059.003_6c318ef0339d74d909ad556681b6493e_I,0.6511627906976745,0.5,0.5656565656565656,112.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_I,0.21676300578034682,0.21306818181818182,0.2148997134670487,352.0
T1090.001_ba343199a4f15ed6b57eb52412f62e4e_I,1.0,0.09090909090909091,0.16666666666666666,33.0
T1518_8ddfaf982ab359cda13626b870ccb339_I,0.6363636363636364,0.6363636363636364,0.6363636363636364,44.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_B,0.23076923076923078,0.13636363636363635,0.17142857142857143,22.0
T1219_f1b3fca18d7465cd10e5a7477a3bf97d_B,0.9565217391304348,1.0,0.9777777777777777,22.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_I,1.0,1.0,1.0,52.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_I,0.3225806451612903,0.1111111111111111,0.1652892561983471,90.0
T1112_cd8be0e6b873919da25530a2c7ea6750_B,1.0,1.0,1.0,33.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.03488372093023256,0.2,0.0594059405940594,15.0
T1482_6131397e-7765-424e-a594-3d7fb2d93a6a_B,1.0,1.0,1.0,23.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db_B,1.0,1.0,1.0,27.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba_B,1.0,1.0,1.0,14.0
T1074.001_4e97e699-93d7-4040-b5a3-2e906a58199e_B,0.0,0.0,0.0,15.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc_B,0.0,0.0,0.0,15.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978_I,1.0,1.0,1.0,63.0
T1547.001_777043894e42d2aae3881e63f6c76d33_I,0.4444444444444444,0.47058823529411764,0.45714285714285713,51.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_B,1.0,1.0,1.0,29.0
T1040_6881a4589710d53f0c146e91db513f01_I,0.16393442622950818,0.3333333333333333,0.21978021978021978,90.0
T1016_71b3d2945679566b9d94d8cb11df4b70_B,1.0,1.0,1.0,16.0
T1562.001_43e3334362b140924f001b256b229ee5_I,0.7176470588235294,1.0,0.8356164383561644,61.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2_I,1.0,1.0,1.0,3672.0
T1057_b2a1e430ca6d36eb5af2fe666e769847_B,1.0,1.0,1.0,19.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_I,0.8726114649681529,0.9927536231884058,0.9288135593220339,138.0
T1562.004_5b93df032e230056c21a3e57334f77d1_I,1.0,1.0,1.0,18.0
T1564.001_66a5fd5f244819181f074dd082a28905_I,0.17582417582417584,0.26666666666666666,0.2119205298013245,60.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_I,0.9635644244519966,0.9862149161503175,0.9747581054713602,295827.0
T1049_638fb6bb-ba39-4285-93d1-7e4775b033a8_B,1.0,1.0,1.0,18.0
T1003_18f31c311ac208802e88ab8d5af8603e_I,0.19230769230769232,0.2536231884057971,0.21875,138.0
T1562.004_8d0a4585e7c4646185a912b14cd9cb46_B,0.0,0.0,0.0,25.0
T1036.004_7de3d7b4922a7b996d8df36fb22bb118_B,0.0,0.0,0.0,21.0
T1041_ea713bc4-63f0-491c-9a6f-0b01d560b87e_I,0.21621621621621623,0.32,0.25806451612903225,25.0
T1567_3d3d378b0bf66f763b0c9d7a129eb130_I,0.14814814814814814,0.08888888888888889,0.1111111111111111,45.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_I,0.15,0.058823529411764705,0.08450704225352113,51.0
T1071.001_24c3b7b004401d839a5c337201da3484_I,0.9523809523809523,1.0,0.975609756097561,380.0
T1574.011_72249c1e9ffe7d8f30243d838e0791ca_B,0.125,0.15789473684210525,0.13953488372093023,19.0
T1560_a1ee301b0508747b468d578a14e5c1a5_I,0.9982476263302109,0.9992664412834088,0.9987567739878865,31354.0
T1074.001_e6dfc7e89359ac6fa6de84b0e1d5762e_I,0.08333333333333333,0.08,0.08163265306122448,175.0
T1113_316251ed-6a28-4013-812b-ddf5b5b007f8_I,0.6578947368421053,0.8333333333333334,0.7352941176470589,90.0
T1518_8ddfaf982ab359cda13626b870ccb339_B,1.0,1.0,1.0,22.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89_B,0.25,0.05,0.08333333333333333,20.0
T1201_38f6f0e50a6b196140ec40d3dc9cc9e6_B,1.0,1.0,1.0,13.0
T1119_7121cdf93b951311be9d7078c602efdc_I,0.9183168316831684,0.9298245614035088,0.9240348692403487,399.0
T1059.001_ccdb8caf-c69e-424b-b930-551969450c57_I,0.36,0.3157894736842105,0.3364485981308411,114.0
T1562.001_43e3334362b140924f001b256b229ee5_B,1.0,1.0,1.0,21.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_I,0.9708661417322835,0.9871897518014412,0.9789599047240969,2498.0
T1071.001_24c3b7b004401d839a5c337201da3484_B,0.0,0.0,0.0,19.0
T1112_34041639e6e501856ecaf5969ee29c76_B,1.0,1.0,1.0,22.0
T1115_70795de7cbb842edb029b3378c27c008_I,0.8612099644128114,0.8402777777777778,0.8506151142355008,288.0
T1564.001_dce51e632abdfe5392c7c1f942ac9273_B,1.0,1.0,1.0,21.0
T1033_c0da588f-79f0-4263-8998-7496b1a40596_B,1.0,1.0,1.0,22.0
T1564.004_76b6066fe170d38215251102e42be973_B,0.0,0.0,0.0,16.0
T1037.001_62cfa90fb03a6bc1a6ebcce8a3ea81b7_B,0.10714285714285714,0.3157894736842105,0.16,19.0
T1119_344e7eaf650763e0d3e9f02e62c1cf4b_I,0.0,0.0,0.0,76.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.580952380952381,0.7530864197530864,0.6559139784946236,81.0
T1047_ac122553ab4426ea3362bb4a97d31bfd_B,0.0,0.0,0.0,20.0
T1003.001_35d92515122effdd73801c6ac3021da7_I,0.10869565217391304,0.03225806451612903,0.04975124378109453,155.0
T1574.011_72249c1e9ffe7d8f30243d838e0791ca_I,0.26582278481012656,0.4421052631578947,0.33201581027667987,95.0
T1016_a0676fe1-cd52-482e-8dde-349b73f9aa69_B,1.0,1.0,1.0,16.0
T1547.001_163b023f43aba758d36f524d146cb8ea_I,0.7291666666666666,0.7,0.7142857142857143,100.0
T1047_ed736a123da6fb2aab22cfd4f437e8b5_B,1.0,1.0,1.0,22.0
T1018_a44bb43474728496276d5d73aa14588f_B,1.0,1.0,1.0,22.0
T1562.004_41627f71f968225b9f162cb76d16bd9d_B,0.0,0.0,0.0,28.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89_I,0.6369426751592356,0.8333333333333334,0.7220216606498195,120.0
T1135_deeac480-5c2a-42b5-90bb-41675ee53c7e_B,0.0,0.0,0.0,19.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_I,1.0,1.0,1.0,45.0
T1120_7b9c7afaefa59aab759b49af0d699ac1_I,0.625,0.29411764705882354,0.4,102.0
T1007_9d03c91bdae5a80f17f89c987942b5a8_I,0.7105263157894737,0.47368421052631576,0.5684210526315789,114.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_B,0.0,0.0,0.0,12.0
T1518.001_b8453a5fe06b24aea12b27592d5c3d3a_B,1.0,1.0,1.0,15.0
T1219_af8cb2bf9b436aae5c106a0a9c207e14_I,0.9953917050691244,0.9463307776560789,0.970241437394722,3652.0
T1105_c76968acda4aa1673dadcd67f3ab7664_B,0.39285714285714285,0.5,0.44,22.0
T1547.009_b6e5c895c6709fe289352ee23f062229_I,0.12295081967213115,0.10204081632653061,0.11152416356877323,147.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc_I,0.1956521739130435,0.3,0.23684210526315788,30.0
T1201_57296a2ddbeb7423c05feef2fe972111_B,1.0,1.0,1.0,18.0
T1003.001_35d92515122effdd73801c6ac3021da7_B,0.0,0.0,0.0,31.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861_I,0.2544642857142857,0.31666666666666665,0.28217821782178215,180.0
T1036.003_f5ef8466e5ebcd2ae03f338d9416069c_I,0.7875894988066826,0.9428571428571428,0.8582574772431729,700.0
T1112_e74d2fb4ef5fa6c766a4151554033697_I,1.0,1.0,1.0,28.0
T1490_2d53d6fabd39bf9c70b0dfcdfbbc926d_B,1.0,1.0,1.0,17.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759_I,1.0,1.0,1.0,121.0
T1112_e7a987cbef27263e666e5b096488dc55_I,0.85,0.85,0.85,40.0
T1124_fa6e8607-e0b1-425d-8924-9b894da5a002_B,1.0,1.0,1.0,12.0
T1490_e90756bb6dcd21462dc4cc452661df91_B,1.0,1.0,1.0,21.0
T1087.001_6334877e8e3ba48f7835d4856d90a282_I,1.0,0.8,0.8888888888888888,5.0
T1499_2fe2d5e6-7b06-4fc0-bf71-6966a1226731_B,1.0,1.0,1.0,27.0
T1546.013_f9a968af61d36983448c74cca5464e17_B,0.2608695652173913,0.3157894736842105,0.2857142857142857,19.0
T1562.004_41627f71f968225b9f162cb76d16bd9d_I,0.3611111111111111,0.23214285714285715,0.2826086956521739,280.0
T1059.003_f38e58deb7ad20b5538ca40db7b7b4f8_B,0.0,0.0,0.0,19.0
T1112_ba6f6214dbd17c54001e0a163b60f151_I,1.0,1.0,1.0,58.0
T1217_f7a0f7d704aa52a764d9d1bee81e65d6_B,1.0,1.0,1.0,18.0
T1112_35c0360d226cf38104f300d9d57ce60e_I,1.0,1.0,1.0,24.0
T1113_316251ed-6a28-4013-812b-ddf5b5b007f8_B,0.21052631578947367,0.2222222222222222,0.21621621621621623,18.0
T1560_a1ee301b0508747b468d578a14e5c1a5_B,1.0,0.6521739130434783,0.7894736842105263,23.0
T1482_cfb61005899996469ae3023796792ca5_B,1.0,1.0,1.0,18.0
T1112_257313a3c93e3bb7dfb60d6753b09e34_B,1.0,1.0,1.0,23.0
T1490_c156ac5c9fa67080365268d95f29053d_B,1.0,1.0,1.0,24.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_I,0.40458015267175573,0.7361111111111112,0.5221674876847291,72.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_I,0.9834224598930481,0.9839486356340289,0.9836854774003745,1869.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_I,0.9986737400530504,0.996031746031746,0.9973509933774835,1512.0
T1046_5a4cb2be-2684-4801-9355-3a90c91e0004_B,1.0,1.0,1.0,10.0
T1047_b0255b5120cbabc062d8d4510a142c3b_B,1.0,1.0,1.0,20.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,21.0
T1049_a14392d713dffba6a397682ff83259a0_B,1.0,1.0,1.0,21.0
T1137_12ad9edefc86af07700fbf49bfdac6ba_I,0.949238578680203,0.7420634920634921,0.8329621380846325,252.0
T1547.010_4593d72a5145e3f494421ac772d37464_I,0.41530054644808745,0.5241379310344828,0.4634146341463415,145.0
